"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Perubahan%"
"21/08/2019","14.240,0","14.260,0","14.275,0","14.225,0","-0,14%"
"20/08/2019","14.260,0","14.235,0","14.275,0","14.235,0","0,18%"
"19/08/2019","14.235,0","14.215,0","14.240,0","14.185,0","0,00%"
"16/08/2019","14.235,0","14.260,0","14.270,0","14.225,0","-0,23%"
"15/08/2019","14.267,5","14.267,5","14.312,5","14.257,5","0,16%"
"14/08/2019","14.245,0","14.255,0","14.255,0","14.215,0","-0,51%"
"13/08/2019","14.317,5","14.257,5","14.332,5","14.257,5","0,49%"
"12/08/2019","14.247,5","14.202,5","14.249,5","14.202,5","0,41%"
"09/08/2019","14.190,0","14.205,0","14.210,0","14.175,0","-0,13%"
"08/08/2019","14.208,0","14.213,0","14.243,0","14.193,0","-0,10%"
"07/08/2019","14.222,5","14.257,5","14.297,5","14.207,5","-0,30%"
"06/08/2019","14.265,0","14.305,0","14.355,0","14.255,0","0,07%"
"05/08/2019","14.255,0","14.190,0","14.280,0","14.190,0","0,53%"
"02/08/2019","14.180,0","14.165,0","14.230,0","14.165,0","0,45%"
"01/08/2019","14.116,0","14.061,0","14.128,0","14.061,0","0,71%"
"31/07/2019","14.017,0","14.015,0","14.031,0","14.005,0","-0,02%"
"30/07/2019","14.020,0","14.020,0","14.040,0","14.015,0","0,00%"
"29/07/2019","14.020,0","13.995,0","14.028,0","13.995,0","0,11%"
"26/07/2019","14.004,0","13.995,0","14.015,0","13.995,0","0,19%"
"25/07/2019","13.977,5","13.987,5","13.992,5","13.972,5","-0,11%"
"24/07/2019","13.993,0","13.983,0","14.025,0","13.983,0","0,06%"
"23/07/2019","13.984,0","13.954,0","13.990,0","13.954,0","0,28%"
"22/07/2019","13.945,0","13.945,0","13.970,0","13.940,0","0,07%"
"19/07/2019","13.935,0","13.935,0","13.945,0","13.890,0","-0,18%"
"18/07/2019","13.960,0","13.965,0","13.984,0","13.925,0","-0,14%"
"17/07/2019","13.980,0","13.940,0","13.990,0","13.935,0","0,32%"
"16/07/2019","13.935,0","13.905,0","13.943,0","13.905,0","0,11%"
"15/07/2019","13.919,5","13.999,5","13.999,5","13.889,5","-0,62%"
"12/07/2019","14.007,0","14.073,0","14.098,0","14.003,0","-0,41%"
"11/07/2019","14.065,0","14.100,0","14.105,0","14.050,0","-0,46%"
"10/07/2019","14.130,0","14.135,0","14.155,0","14.130,0","0,00%"
"09/07/2019","14.130,0","14.105,0","14.135,0","14.105,0","0,14%"
"08/07/2019","14.110,0","14.115,0","14.155,0","14.095,0","0,20%"
"05/07/2019","14.082,5","14.137,5","14.147,5","14.077,5","-0,41%"
"04/07/2019","14.140,0","14.105,0","14.145,0","14.100,0","0,16%"
"03/07/2019","14.117,5","14.142,5","14.167,5","14.117,5","-0,14%"
"02/07/2019","14.137,5","14.117,5","14.147,5","14.117,5","0,18%"
"01/07/2019","14.112,5","14.082,5","14.117,5","14.082,5","-0,11%"
"28/06/2019","14.127,5","14.132,5","14.147,5","14.097,5","-0,09%"
"27/06/2019","14.140,0","14.175,0","14.185,0","14.140,0","-0,25%"
"26/06/2019","14.175,0","14.135,0","14.185,0","14.135,0","0,35%"
"25/06/2019","14.125,0","14.140,0","14.145,0","14.095,0","-0,11%"
"24/06/2019","14.140,0","14.135,0","14.175,0","14.135,0","-0,11%"
"21/06/2019","14.155,0","14.125,0","14.170,0","14.080,0","-0,19%"
"20/06/2019","14.182,5","14.242,5","14.252,5","14.172,5","-0,61%"
"19/06/2019","14.269,5","14.264,5","14.279,5","14.259,5","-0,37%"
"18/06/2019","14.322,5","14.332,5","14.342,5","14.317,5","-0,09%"
"17/06/2019","14.335,0","14.330,0","14.355,0","14.330,0","0,07%"
"14/06/2019","14.325,0","14.275,0","14.330,0","14.275,0","0,32%"
"13/06/2019","14.280,0","14.235,0","14.280,0","14.235,0","0,32%"
"12/06/2019","14.235,0","14.225,0","14.265,0","14.220,0","-0,02%"
"11/06/2019","14.237,5","14.242,5","14.260,5","14.232,5","-0,09%"
"10/06/2019","14.250,0","14.205,0","14.260,0","14.205,0","-0,18%"
"07/06/2019","14.275,0","14.275,0","14.275,0","14.275,0","0,00%"
"06/06/2019","14.275,0","14.275,0","14.275,0","14.275,0","0,00%"
"05/06/2019","14.275,0","14.275,0","14.275,0","14.275,0","0,00%"
"04/06/2019","14.275,0","14.275,0","14.275,0","14.275,0","0,00%"
"03/06/2019","14.275,0","14.275,0","14.275,0","14.275,0","0,00%"
"31/05/2019","14.275,0","14.380,0","14.385,0","14.255,0","-0,87%"
"30/05/2019","14.400,0","14.400,0","14.400,0","14.400,0","0,00%"
"29/05/2019","14.400,0","14.385,0","14.435,0","14.385,0","0,17%"
"28/05/2019","14.375,0","14.365,0","14.390,0","14.365,0","-0,03%"
"27/05/2019","14.380,0","14.355,0","14.390,0","14.345,0","-0,09%"
"24/05/2019","14.392,5","14.442,5","14.472,5","14.392,5","-0,47%"
"23/05/2019","14.460,0","14.510,0","14.525,0","14.455,0","-0,45%"
"22/05/2019","14.525,0","14.470,0","14.530,0","14.470,0","0,31%"
"21/05/2019","14.480,0","14.455,0","14.480,0","14.455,0","0,17%"
"20/05/2019","14.455,0","14.450,0","14.460,0","14.450,0","0,03%"
"17/05/2019","14.450,0","14.460,0","14.475,0","14.445,0","0,00%"
"16/05/2019","14.450,0","14.455,0","14.475,0","14.440,0","-0,07%"
"15/05/2019","14.460,0","14.445,0","14.465,0","14.440,0","0,21%"
"14/05/2019","14.430,0","14.420,0","14.460,0","14.420,0","0,10%"
"13/05/2019","14.415,0","14.335,0","14.442,0","14.335,0","0,63%"
"10/05/2019","14.325,0","14.325,0","14.370,0","14.325,0","-0,17%"
"09/05/2019","14.350,0","14.300,0","14.375,0","14.300,0","0,38%"
"08/05/2019","14.295,0","14.290,0","14.315,0","14.290,0","0,11%"
"07/05/2019","14.280,0","14.290,0","14.320,0","14.265,0","-0,09%"
"06/05/2019","14.292,5","14.272,5","14.332,5","14.272,5","0,26%"
"03/05/2019","14.255,0","14.255,0","14.287,0","14.255,0","0,04%"
"02/05/2019","14.250,0","14.205,0","14.270,0","14.205,0","0,00%"
"01/05/2019","14.250,0","14.250,0","14.250,0","14.250,0","0,00%"
"30/04/2019","14.250,0","14.195,0","14.265,0","14.195,0","0,35%"
"29/04/2019","14.200,0","14.190,0","14.217,0","14.180,0","0,09%"
"26/04/2019","14.187,5","14.192,5","14.202,5","14.172,5","0,02%"
"25/04/2019","14.185,0","14.095,0","14.190,0","14.095,0","0,64%"
"24/04/2019","14.095,0","14.090,0","14.130,0","14.090,0","0,14%"
"23/04/2019","14.075,0","14.065,0","14.090,0","14.065,0","0,00%"
"22/04/2019","14.075,0","14.045,0","14.097,0","14.045,0","0,23%"
"19/04/2019","14.042,5","14.042,5","14.042,5","14.042,5","0,00%"
"18/04/2019","14.042,5","14.002,5","14.047,5","13.992,5","-0,30%"
"17/04/2019","14.085,0","14.085,0","14.085,0","14.085,0","0,00%"
"16/04/2019","14.085,0","14.060,0","14.085,0","14.060,0","0,18%"
"15/04/2019","14.060,0","14.085,0","14.085,0","14.060,0","-0,23%"
"12/04/2019","14.092,5","14.142,5","14.152,5","14.092,5","-0,30%"
"11/04/2019","14.135,0","14.150,0","14.165,0","14.135,0","-0,11%"
"10/04/2019","14.150,0","14.145,0","14.170,0","14.145,0","0,12%"
"09/04/2019","14.133,0","14.148,0","14.153,0","14.129,0","-0,21%"
"08/04/2019","14.163,0","14.133,0","14.173,0","14.133,0","0,27%"
"05/04/2019","14.125,0","14.180,0","14.180,0","14.125,0","-0,39%"
"04/04/2019","14.180,0","14.190,0","14.195,0","14.175,0","-0,28%"
"03/04/2019","14.220,0","14.220,0","14.220,0","14.220,0","0,00%"
"02/04/2019","14.220,0","14.220,0","14.245,0","14.219,0","-0,04%"
"01/04/2019","14.225,0","14.225,0","14.246,0","14.220,0","-0,11%"
"29/03/2019","14.240,0","14.245,0","14.250,0","14.220,0","-0,01%"
"28/03/2019","14.242,0","14.220,0","14.260,0","14.215,0","0,33%"
"27/03/2019","14.195,0","14.175,0","14.225,0","14.175,0","0,18%"
"26/03/2019","14.170,0","14.195,0","14.195,0","14.155,0","-0,07%"
"25/03/2019","14.180,0","14.195,0","14.230,0","14.179,0","0,11%"
"22/03/2019","14.165,0","14.135,0","14.170,0","14.135,0","0,18%"
"21/03/2019","14.140,0","14.105,0","14.145,0","14.084,0","-0,32%"
"20/03/2019","14.185,0","14.215,0","14.235,0","14.180,0","-0,32%"
"19/03/2019","14.230,0","14.215,0","14.240,0","14.215,0","-0,05%"
"18/03/2019","14.237,5","14.232,5","14.247,5","14.212,5","-0,15%"
"15/03/2019","14.259,0","14.284,0","14.314,0","14.259,0","-0,06%"
"14/03/2019","14.267,0","14.235,0","14.284,0","14.235,0","0,01%"
"13/03/2019","14.265,0","14.245,0","14.286,0","14.245,0","0,00%"
"12/03/2019","14.265,0","14.245,0","14.280,0","14.235,0","-0,17%"
"11/03/2019","14.290,0","14.310,0","14.338,0","14.275,0","-0,14%"
"08/03/2019","14.310,0","14.200,0","14.340,0","14.200,0","1,20%"
"07/03/2019","14.140,0","14.140,0","14.140,0","14.140,0","0,00%"
"06/03/2019","14.140,0","14.125,0","14.155,0","14.120,0","0,14%"
"05/03/2019","14.120,0","14.125,0","14.155,0","14.120,0","-0,07%"
"04/03/2019","14.130,0","14.120,0","14.155,0","14.115,0","0,11%"
"01/03/2019","14.115,0","14.102,0","14.135,0","14.102,0","0,36%"
"28/02/2019","14.065,0","14.030,0","14.083,0","14.030,0","0,25%"
"27/02/2019","14.030,0","13.985,0","14.045,0","13.980,0","0,28%"
"26/02/2019","13.991,0","13.963,0","14.003,0","13.963,0","-0,19%"
"25/02/2019","14.017,5","13.987,5","14.022,5","13.987,5","-0,28%"
"22/02/2019","14.057,5","14.067,5","14.082,5","14.049,5","-0,04%"
"21/02/2019","14.063,0","14.040,0","14.075,0","14.040,0","0,16%"
"20/02/2019","14.040,0","14.080,0","14.080,0","14.040,0","-0,44%"
"19/02/2019","14.102,0","14.105,0","14.130,0","14.102,0","-0,03%"
"18/02/2019","14.106,5","14.101,5","14.116,5","14.076,5","-0,25%"
"15/02/2019","14.142,5","14.092,5","14.157,5","14.092,5","0,37%"
"14/02/2019","14.090,0","14.065,0","14.100,0","14.065,0","0,23%"
"13/02/2019","14.057,5","14.027,5","14.057,5","14.007,5","-0,08%"
"12/02/2019","14.068,5","14.083,5","14.098,5","14.033,5","0,20%"
"11/02/2019","14.040,0","13.985,0","14.050,0","13.985,0","0,54%"
"08/02/2019","13.965,0","13.975,0","14.000,0","13.948,0","-0,05%"
"07/02/2019","13.972,5","13.927,5","13.987,5","13.927,5","0,36%"
"06/02/2019","13.922,0","13.950,0","13.950,0","13.890,0","-0,24%"
"05/02/2019","13.955,0","13.955,0","13.955,0","13.955,0","0,00%"
"04/02/2019","13.955,0","13.950,0","13.995,0","13.940,0","0,11%"
"01/02/2019","13.940,0","13.945,0","13.985,0","13.940,0","-0,23%"
"31/01/2019","13.972,5","14.132,5","14.132,5","13.957,5","-1,11%"
"30/01/2019","14.130,0","14.097,0","14.132,0","14.085,0","0,25%"
"29/01/2019","14.095,0","14.070,0","14.097,0","14.070,0","0,18%"
"28/01/2019","14.070,0","14.065,0","14.075,0","14.025,0","-0,11%"
"25/01/2019","14.085,0","14.155,0","14.170,0","14.084,0","-0,56%"
"24/01/2019","14.165,0","14.135,0","14.175,0","14.120,0","-0,11%"
"23/01/2019","14.180,0","14.195,0","14.200,0","14.165,0","-0,25%"
"22/01/2019","14.215,0","14.210,0","14.230,0","14.185,0","-0,05%"
"21/01/2019","14.222,5","14.182,5","14.232,5","14.182,5","0,34%"
"18/01/2019","14.175,0","14.185,0","14.200,0","14.155,0","-0,04%"
"17/01/2019","14.180,0","14.120,0","14.200,0","14.120,0","0,41%"
"16/01/2019","14.122,5","14.112,5","14.162,5","14.107,5","0,21%"
"15/01/2019","14.092,5","14.087,5","14.107,5","14.062,5","-0,22%"
"14/01/2019","14.124,0","14.034,0","14.144,0","14.034,0","0,56%"
"11/01/2019","14.045,0","14.065,0","14.095,0","14.015,0","-0,07%"
"10/01/2019","14.055,0","14.055,0","14.110,0","14.005,0","-0,50%"
"09/01/2019","14.125,0","14.105,0","14.180,0","14.085,0","-0,14%"
"08/01/2019","14.145,0","14.050,0","14.162,0","13.995,0","0,39%"
"07/01/2019","14.090,0","14.190,0","14.190,0","13.995,0","-1,26%"
"04/01/2019","14.270,0","14.380,0","14.380,0","14.255,0","-0,97%"
"03/01/2019","14.410,0","14.445,0","14.490,0","14.410,0","-0,28%"
"02/01/2019","14.450,0","14.425,0","14.485,0","14.425,0","0,49%"
"01/01/2019","14.380,0","14.380,0","14.380,0","14.380,0","0,00%"
"31/12/2018","14.380,0","14.485,0","14.496,0","14.380,0","-1,24%"
"28/12/2018","14.560,0","14.560,0","14.575,0","14.535,0","0,00%"
"27/12/2018","14.560,0","14.555,0","14.595,0","14.555,0","-0,10%"
"26/12/2018","14.575,0","14.580,0","14.610,0","14.565,0","0,14%"
"25/12/2018","14.555,0","14.555,0","14.555,0","14.555,0","0,00%"
"24/12/2018","14.555,0","14.555,0","14.555,0","14.555,0","0,00%"
"21/12/2018","14.555,0","14.480,0","14.560,0","14.454,0","0,59%"
"20/12/2018","14.470,0","14.465,0","14.520,0","14.455,0","0,19%"
"19/12/2018","14.442,5","14.437,5","14.442,5","14.337,5","-0,40%"
"18/12/2018","14.500,0","14.555,0","14.560,0","14.480,0","-0,51%"
"17/12/2018","14.575,0","14.585,0","14.630,0","14.574,0","-0,07%"
"14/12/2018","14.585,0","14.505,0","14.585,0","14.505,0","0,60%"
"13/12/2018","14.497,5","14.527,5","14.557,5","14.479,5","-0,69%"
"12/12/2018","14.597,5","14.562,5","14.602,5","14.552,5","-0,02%"
"11/12/2018","14.600,0","14.585,0","14.655,0","14.585,0","0,31%"
"10/12/2018","14.555,0","14.475,0","14.555,0","14.475,0","0,59%"
"07/12/2018","14.470,0","14.495,0","14.536,0","14.455,0","-0,34%"
"06/12/2018","14.520,0","14.435,0","14.570,0","14.435,0","0,87%"
"05/12/2018","14.395,0","14.355,0","14.430,0","14.354,0","0,73%"
"04/12/2018","14.290,0","14.305,0","14.325,0","14.265,0","0,35%"
"03/12/2018","14.240,0","14.255,0","14.270,0","14.210,0","-0,44%"
"30/11/2018","14.302,5","14.302,5","14.352,5","14.252,5","-0,56%"
"29/11/2018","14.382,5","14.462,5","14.462,5","14.332,5","-1,00%"
"28/11/2018","14.527,5","14.513,5","14.542,5","14.509,5","0,10%"
"27/11/2018","14.513,5","14.488,5","14.518,5","14.478,5","0,27%"
"26/11/2018","14.475,0","14.540,0","14.565,0","14.455,0","-0,45%"
"23/11/2018","14.540,0","14.555,0","14.562,0","14.505,0","-0,26%"
"22/11/2018","14.577,5","14.597,5","14.607,5","14.567,5","-0,19%"
"21/11/2018","14.605,0","14.615,0","14.645,0","14.565,0","0,10%"
"20/11/2018","14.590,0","14.590,0","14.590,0","14.590,0","0,00%"
"19/11/2018","14.590,0","14.520,0","14.625,0","14.520,0","-0,15%"
"16/11/2018","14.611,5","14.603,5","14.613,5","14.533,5","-0,45%"
"15/11/2018","14.677,5","14.742,5","14.777,5","14.632,5","-0,74%"
"14/11/2018","14.787,0","14.802,0","14.802,0","14.732,0","-0,16%"
"13/11/2018","14.810,0","14.840,0","14.935,0","14.755,0","-0,03%"
"12/11/2018","14.815,0","14.705,0","14.835,0","14.705,0","0,89%"
"09/11/2018","14.685,0","14.605,0","14.695,0","14.605,0","1,00%"
"08/11/2018","14.540,0","14.601,0","14.670,0","14.455,0","-0,27%"
"07/11/2018","14.580,0","14.775,0","14.805,0","14.580,0","-1,50%"
"06/11/2018","14.802,5","14.952,5","14.952,5","14.782,5","-1,16%"
"05/11/2018","14.976,0","14.951,0","14.988,0","14.951,0","0,16%"
"02/11/2018","14.952,5","15.087,5","15.097,5","14.942,5","-1,16%"
"01/11/2018","15.127,5","15.182,5","15.200,5","15.116,5","-0,49%"
"31/10/2018","15.202,5","15.217,5","15.233,5","15.197,5","-0,13%"
"30/10/2018","15.223,0","15.221,0","15.241,0","15.216,0","0,02%"
"29/10/2018","15.220,0","15.205,0","15.230,0","15.205,0","0,02%"
"26/10/2018","15.216,5","15.186,5","15.216,5","15.185,5","0,19%"
"25/10/2018","15.187,5","15.202,5","15.212,5","15.182,5","-0,06%"
"24/10/2018","15.197,0","15.182,0","15.199,0","15.177,0","0,05%"
"23/10/2018","15.190,0","15.190,0","15.217,0","15.190,0","0,03%"
"22/10/2018","15.185,0","15.185,0","15.200,0","15.180,0","-0,02%"
"19/10/2018","15.187,5","15.197,5","15.222,5","15.177,5","-0,04%"
"18/10/2018","15.193,5","15.161,5","15.196,5","15.161,5","0,25%"
"17/10/2018","15.155,0","15.155,0","15.195,0","15.145,0","-0,30%"
"16/10/2018","15.200,0","15.185,0","15.230,0","15.175,0","-0,07%"
"15/10/2018","15.210,0","15.210,0","15.260,0","15.190,0","0,03%"
"12/10/2018","15.205,0","15.205,0","15.205,0","15.180,0","-0,20%"
"11/10/2018","15.235,0","15.215,0","15.270,0","15.215,0","0,21%"
"10/10/2018","15.203,0","15.185,0","15.230,0","15.180,0","-0,18%"
"09/10/2018","15.230,0","15.210,0","15.258,0","15.210,0","0,08%"
"08/10/2018","15.217,5","15.186,5","15.260,5","15.186,5","0,25%"
"05/10/2018","15.180,0","15.183,0","15.193,0","15.160,0","0,07%"
"04/10/2018","15.170,0","15.100,0","15.195,0","15.100,0","0,63%"
"03/10/2018","15.075,0","15.050,0","15.095,0","15.050,0","0,20%"
"02/10/2018","15.045,0","14.915,0","15.053,0","14.915,0","0,91%"
"01/10/2018","14.910,0","14.885,0","14.915,0","14.885,0","0,06%"
"28/09/2018","14.901,5","14.931,5","14.936,5","14.886,5","-0,10%"
"27/09/2018","14.917,0","14.915,0","14.930,0","14.885,0","0,08%"
"26/09/2018","14.905,0","14.930,0","14.945,0","14.905,0","-0,10%"
"25/09/2018","14.920,0","14.870,0","14.920,0","14.870,0","0,35%"
"24/09/2018","14.867,5","14.832,5","14.885,5","14.832,5","0,33%"
"21/09/2018","14.819,0","14.813,0","14.838,0","14.793,0","-0,18%"
"20/09/2018","14.845,0","14.825,0","14.856,0","14.815,0","-0,20%"
"19/09/2018","14.875,0","14.855,0","14.910,0","14.855,0","0,13%"
"18/09/2018","14.855,0","14.890,0","14.935,0","14.855,0","-0,15%"
"17/09/2018","14.877,5","14.837,5","14.917,5","14.837,5","0,49%"
"14/09/2018","14.805,0","14.785,0","14.845,0","14.775,0","-0,24%"
"13/09/2018","14.840,0","14.805,0","14.847,0","14.775,0","0,10%"
"12/09/2018","14.825,0","14.825,0","14.890,0","14.825,0","-0,22%"
"11/09/2018","14.857,0","14.857,0","14.857,0","14.857,0","0,00%"
"10/09/2018","14.857,0","14.825,0","14.880,0","14.820,0","0,25%"
"07/09/2018","14.820,0","14.870,0","14.904,0","14.820,0","-0,47%"
"06/09/2018","14.890,0","14.905,0","14.910,0","14.854,0","-0,30%"
"05/09/2018","14.935,0","14.930,0","14.945,0","14.929,0","0,00%"
"04/09/2018","14.935,0","14.820,0","14.945,0","14.820,0","0,81%"
"03/09/2018","14.815,0","14.740,0","14.830,0","14.740,0","0,58%"
"31/08/2018","14.730,0","14.715,0","14.735,0","14.715,0","0,27%"
"30/08/2018","14.690,0","14.655,0","14.690,0","14.650,0","0,24%"
"29/08/2018","14.655,0","14.625,0","14.658,0","14.625,0","0,23%"
"28/08/2018","14.622,0","14.585,0","14.630,0","14.585,0","0,01%"
"27/08/2018","14.620,0","14.605,0","14.630,0","14.585,0","-0,15%"
"24/08/2018","14.642,0","14.650,0","14.665,0","14.640,0","0,08%"
"23/08/2018","14.630,0","14.600,0","14.642,0","14.600,0","0,34%"
"22/08/2018","14.580,0","14.580,0","14.580,0","14.580,0","0,00%"
"21/08/2018","14.580,0","14.550,0","14.590,0","14.550,0","-0,07%"
"20/08/2018","14.590,0","14.560,0","14.595,0","14.555,0","-0,14%"
"17/08/2018","14.610,0","14.610,0","14.610,0","14.610,0","0,00%"
"16/08/2018","14.610,0","14.635,0","14.635,0","14.580,0","0,07%"
"15/08/2018","14.600,0","14.600,0","14.651,0","14.570,0","0,14%"
"14/08/2018","14.580,0","14.602,0","14.635,0","14.575,0","-0,10%"
"13/08/2018","14.595,0","14.495,0","14.630,0","14.495,0","0,83%"
"10/08/2018","14.475,0","14.425,0","14.482,0","14.425,0","0,45%"
"09/08/2018","14.410,0","14.430,0","14.440,0","14.395,0","-0,17%"
"08/08/2018","14.435,0","14.438,0","14.450,0","14.430,0","-0,03%"
"07/08/2018","14.440,0","14.486,0","14.493,0","14.434,0","-0,21%"
"06/08/2018","14.470,0","14.495,0","14.495,0","14.465,0","-0,16%"
"03/08/2018","14.492,5","14.487,5","14.517,5","14.487,5","0,12%"
"02/08/2018","14.475,0","14.440,0","14.480,0","14.440,0","0,24%"
"01/08/2018","14.440,0","14.430,0","14.455,0","14.430,0","0,14%"
"31/07/2018","14.420,0","14.405,0","14.427,0","14.402,0","0,07%"
"30/07/2018","14.410,0","14.385,0","14.420,0","14.385,0","-0,05%"
"27/07/2018","14.417,5","14.457,5","14.492,5","14.372,5","-0,29%"
"26/07/2018","14.460,0","14.425,0","14.475,0","14.415,0","0,00%"
"25/07/2018","14.460,0","14.500,0","14.530,0","14.460,0","-0,48%"
"24/07/2018","14.530,0","14.510,0","14.565,0","14.510,0","0,28%"
"23/07/2018","14.490,0","14.430,0","14.498,0","14.425,0","0,07%"
"20/07/2018","14.480,0","14.485,0","14.545,0","14.475,0","0,03%"
"19/07/2018","14.475,0","14.405,0","14.480,0","14.405,0","0,49%"
"18/07/2018","14.405,0","14.390,0","14.422,0","14.390,0","0,24%"
"17/07/2018","14.370,0","14.385,0","14.400,0","14.362,0","-0,03%"
"16/07/2018","14.375,0","14.390,0","14.420,0","14.375,0","-0,03%"
"13/07/2018","14.380,0","14.340,0","14.386,0","14.340,0","0,00%"
"12/07/2018","14.380,0","14.405,0","14.445,0","14.380,0","-0,03%"
"11/07/2018","14.385,0","14.375,0","14.395,0","14.375,0","0,17%"
"10/07/2018","14.360,0","14.305,0","14.375,0","14.305,0","0,24%"
"09/07/2018","14.325,0","14.330,0","14.345,0","14.320,0","-0,31%"
"06/07/2018","14.370,0","14.375,0","14.422,0","14.358,0","-0,10%"
"05/07/2018","14.385,0","14.365,0","14.425,0","14.365,0","0,23%"
"04/07/2018","14.352,0","14.330,0","14.370,0","14.310,0","-0,19%"
"03/07/2018","14.380,0","14.370,0","14.460,0","14.370,0","0,00%"
"02/07/2018","14.380,0","14.255,0","14.410,0","14.255,0","0,35%"
"29/06/2018","14.330,0","14.365,0","14.415,0","14.305,0","-0,42%"
"28/06/2018","14.390,0","14.220,0","14.400,0","14.195,0","1,50%"
"27/06/2018","14.178,0","14.178,0","14.178,0","14.178,0","0,00%"
"26/06/2018","14.178,0","14.130,0","14.185,0","14.130,0","0,16%"
"25/06/2018","14.155,0","14.103,0","14.165,0","14.103,0","0,53%"
"22/06/2018","14.080,0","14.095,0","14.110,0","14.058,0","-0,16%"
"21/06/2018","14.103,0","13.975,0","14.111,0","13.975,0","1,24%"
"20/06/2018","13.930,0","13.930,0","13.930,0","13.930,0","0,00%"
"19/06/2018","13.930,0","13.930,0","13.930,0","13.930,0","0,00%"
"18/06/2018","13.930,0","13.930,0","13.930,0","13.930,0","0,00%"
"15/06/2018","13.930,0","13.930,0","13.930,0","13.930,0","0,00%"
"14/06/2018","13.930,0","13.930,0","13.930,0","13.930,0","0,00%"
"13/06/2018","13.930,0","13.930,0","13.930,0","13.930,0","0,00%"
"12/06/2018","13.930,0","13.930,0","13.930,0","13.930,0","0,00%"
"11/06/2018","13.930,0","13.930,0","13.930,0","13.930,0","0,00%"
"08/06/2018","13.930,0","13.906,0","13.947,0","13.895,0","0,43%"
"07/06/2018","13.870,0","13.860,0","13.887,0","13.850,0","0,13%"
"06/06/2018","13.852,5","13.882,5","13.885,5","13.832,5","-0,19%"
"05/06/2018","13.879,0","13.865,0","13.900,0","13.865,0","0,05%"
"04/06/2018","13.872,0","13.855,0","13.901,0","13.850,0","-0,17%"
"01/06/2018","13.895,0","13.895,0","13.895,0","13.895,0","0,00%"
"31/05/2018","13.895,0","13.945,0","13.961,0","13.875,0","-0,68%"
"30/05/2018","13.990,0","14.025,0","14.045,0","13.970,0","0,00%"
"29/05/2018","13.990,0","13.990,0","13.990,0","13.990,0","0,00%"
"28/05/2018","13.990,0","14.085,0","14.085,0","13.975,0","-0,92%"
"25/05/2018","14.120,0","14.145,0","14.175,0","14.120,0","-0,11%"
"24/05/2018","14.135,0","14.180,0","14.215,0","14.130,0","-0,51%"
"23/05/2018","14.207,0","14.155,0","14.215,0","14.155,0","0,49%"
"22/05/2018","14.138,0","14.155,0","14.192,0","14.125,0","-0,33%"
"21/05/2018","14.185,0","14.155,0","14.205,0","14.155,0","0,23%"
"18/05/2018","14.152,5","14.042,5","14.157,5","14.042,5","0,72%"
"17/05/2018","14.052,0","14.065,0","14.082,0","14.045,0","-0,29%"
"16/05/2018","14.093,0","14.070,0","14.115,0","14.070,0","0,40%"
"15/05/2018","14.037,0","13.984,0","14.040,0","13.984,0","0,48%"
"14/05/2018","13.970,0","13.955,0","13.990,0","13.945,0","0,14%"
"11/05/2018","13.950,0","14.075,0","14.075,0","13.950,0","-0,92%"
"10/05/2018","14.080,0","14.080,0","14.080,0","14.080,0","0,00%"
"09/05/2018","14.080,0","14.060,0","14.090,0","14.060,0","0,21%"
"08/05/2018","14.050,0","14.000,0","14.055,0","14.000,0","0,36%"
"07/05/2018","14.000,0","13.940,0","14.005,0","13.940,0","0,43%"
"04/05/2018","13.940,0","13.930,0","13.952,0","13.930,0","0,02%"
"03/05/2018","13.937,5","13.952,5","13.975,5","13.936,5","-0,05%"
"02/05/2018","13.945,0","13.920,0","13.965,0","13.920,0","0,23%"
"01/05/2018","13.912,5","13.912,5","13.912,5","13.912,5","0,00%"
"30/04/2018","13.912,5","13.862,5","13.912,5","13.862,5","0,16%"
"27/04/2018","13.890,0","13.875,0","13.901,0","13.874,0","0,02%"
"26/04/2018","13.887,5","13.912,5","13.932,5","13.881,5","-0,23%"
"25/04/2018","13.920,0","13.877,0","13.925,0","13.875,0","0,23%"
"24/04/2018","13.887,5","13.897,5","13.901,5","13.882,5","-0,05%"
"23/04/2018","13.895,0","13.900,0","13.900,0","13.894,0","0,13%"
"20/04/2018","13.877,5","13.792,5","13.877,5","13.787,5","0,70%"
"19/04/2018","13.781,0","13.771,0","13.785,0","13.769,0","0,05%"
"18/04/2018","13.774,5","13.766,5","13.776,5","13.766,5","0,06%"
"17/04/2018","13.766,0","13.761,0","13.773,0","13.751,0","-0,06%"
"16/04/2018","13.774,5","13.752,5","13.779,5","13.752,5","0,16%"
"13/04/2018","13.752,5","13.742,5","13.760,5","13.740,5","-0,12%"
"12/04/2018","13.769,5","13.755,5","13.770,5","13.750,5","0,08%"
"11/04/2018","13.758,5","13.744,5","13.761,5","13.741,5","0,07%"
"10/04/2018","13.749,0","13.761,0","13.762,0","13.736,0","-0,11%"
"09/04/2018","13.764,5","13.764,5","13.775,5","13.759,5","-0,07%"
"06/04/2018","13.773,5","13.773,5","13.783,5","13.773,5","0,05%"
"05/04/2018","13.766,5","13.762,5","13.772,5","13.762,5","0,00%"
"04/04/2018","13.766,5","13.763,5","13.768,5","13.753,5","0,01%"
"03/04/2018","13.764,5","13.761,5","13.767,5","13.751,5","0,08%"
"02/04/2018","13.754,0","13.741,0","13.761,0","13.741,0","-0,08%"
